Date,APPLE,NVIDIA,MANCHESTER UNITED,ALPHABET,BERKSHIRE
8/21/2020,124.370003,126.834999,14.87,79.021004,311126
8/24/2020,125.857498,127.202499,15.11,79.410004,318800
8/25/2020,124.824997,127.5,15.22,80.411003,319970
8/26/2020,126.522499,127.730003,15.38,82.619003,322301
8/27/2020,125.010002,126.282501,15.43,81.716499,325659
8/28/2020,124.807503,131.477493,15.49,82.220497,327431
8/31/2020,129.039993,133.744995,15.38,81.709,327560
9/1/2020,134.179993,138.210007,15.43,83.0355,327440
9/2/2020,131.399994,143.464996,15.55,86.414001,332840
9/3/2020,120.879997,130.154999,15.3,82.092003,327360
9/4/2020,120.959999,126.224998,15.13,79.552002,327401
9/8/2020,112.82,119.129997,16.360001,76.619499,327200
9/9/2020,117.32,127.150002,16.52,77.848,329760
9/10/2020,113.489998,123.1175,16.379999,76.600998,327214
9/11/2020,112,121.644997,16.27,76.036003,327115
9/14/2020,115.360001,128.722504,16.23,75.963997,329725
9/15/2020,115.540001,129.910004,16.35,77.071999,328804
9/16/2020,112.129997,125.144997,16.43,76.044998,329801
9/17/2020,110.339996,124.635002,16.34,74.776497,326401
9/18/2020,106.839996,121.892502,15.71,72.999496,327601
9/21/2020,110.080002,125.172501,15.26,71.557999,319534
9/22/2020,111.809998,126.377502,15.1,73.273003,320601
9/23/2020,107.120003,121.237503,14.7,70.760498,314840
9/24/2020,108.220001,123.480003,14.55,71.414497,313780
9/25/2020,112.279999,128.737503,14.8,72.248001,315156
9/28/2020,114.959999,130.350006,14.76,73.225998,320061
9/29/2020,114.089996,132.257507,14.6,73.466499,315891
9/30/2020,115.809998,135.304993,14.54,73.480003,320001
10/1/2020,116.790001,136.145004,14.52,74.504501,318600
10/2/2020,113.019997,130.622498,14.57,72.920998,317480
10/5/2020,116.5,136.425003,14.39,74.301003,319000
10/6/2020,113.160004,137.365005,14.22,72.671997,315350
10/7/2020,115.080002,139.639999,14.15,73.014503,319571
10/8/2020,114.970001,138.387497,14.59,74.296501,323275
10/9/2020,116.970001,137.627502,14.3,75.761002,323470
10/12/2020,124.400002,142.259995,14.45,78.457497,324560
10/13/2020,121.099998,142.482498,14.27,78.584,318969
